pmkId,fldUsername,fldDescription,fldSnowfall,fldLinktoMountain,fldImageUrl
1,,Stowe,233 inches,http://stowe.com,http://i.imgur.com/SDENXwct.jpg
2,,Sugarbush,257 inches,http://sugarbush.com,http://i.imgur.com/Y4uHtRxt.jpg
3,,Stratton,177 inches,http://stratton.com,http://i.imgur.com/rscGIFUt.jpg
4,,Killington,210 inches,http://killington.com,http://i.imgur.com/bGU1eNSt.jpg
5,,Jay Peak,283 inches,http://jaypeakresort.com,http://i.imgur.com/ZivvrHmt.jpg
6,,Cannon,145 inches,http://cannonmt.com,http://i.imgur.com/vtcOQXtt.jpg
7,,Alta,436 inches,http://alta.com,http://i.imgur.com/htP4uAvt.jpg
8,,Vail,323 inches,http://vail.com,http://i.imgur.com/6vo98QKt.jpg
9,,SnowBird,462 inches,http://snowbird.com,http://i.imgur.com/t4hem1ft.jpg
10,,Sun Valley,226 inches,http://sunvalley.com,http://i.imgur.com/O8KQEkqt.jpg
